node,date,cumulative_bundles,cumulative_collections,target_bundles,target_collections
PDS_IMG,2025-02-07,24,262,185,2620
PDS_IMG,2025-02-08,25,268,185,2620
PDS_IMG,2025-02-09,25,272,185,2620
PDS_IMG,2025-02-10,26,273,185,2620
PDS_IMG,2025-02-11,29,277,185,2620
PDS_IMG,2025-02-13,30,279,185,2620
PDS_IMG,2025-02-24,30,280,185,2620
PDS_IMG,2025-02-26,30,282,185,2620
PDS_IMG,2025-02-27,30,284,185,2620
PDS_IMG,2025-03-01,30,285,185,2620
PDS_IMG,2025-03-03,30,286,185,2620
PDS_IMG,2025-03-07,30,287,185,2620
PDS_IMG,2025-03-15,30,288,185,2620
PDS_IMG,2025-03-19,30,290,185,2620
PDS_IMG,2025-03-22,30,293,185,2620
PDS_IMG,2025-03-25,30,294,185,2620
PDS_IMG,2025-03-29,31,295,185,2620
PDS_IMG,2025-04-04,31,296,185,2620
PDS_IMG,2025-04-06,32,297,185,2620
PDS_IMG,2025-04-09,33,298,185,2620
PDS_IMG,2025-04-10,33,299,185,2620
PDS_IMG,2025-04-11,34,300,185,2620
PDS_IMG,2025-04-12,35,301,185,2620
PDS_IMG,2025-04-16,35,302,185,2620
PDS_IMG,2025-04-17,36,307,185,2620
PDS_IMG,2025-04-18,36,308,185,2620
PDS_IMG,2025-04-19,39,313,185,2620
PDS_IMG,2025-04-20,43,321,185,2620
PDS_IMG,2025-04-21,43,322,185,2620
PDS_IMG,2025-04-22,44,324,185,2620
PDS_IMG,2025-04-23,45,325,185,2620
PDS_IMG,2025-04-24,45,326,185,2620
PDS_IMG,2025-04-25,47,328,185,2620
PDS_IMG,2025-04-26,47,331,185,2620
PDS_IMG,2025-05-02,47,332,185,2620
PDS_IMG,2025-05-03,48,333,185,2620
PDS_IMG,2025-05-04,49,334,185,2620
PDS_IMG,2025-05-06,50,335,185,2620
PDS_IMG,2025-05-13,50,336,185,2620
PDS_IMG,2025-05-14,50,337,185,2620
PDS_IMG,2025-07-02,50,338,185,2620
PDS_IMG,2025-07-03,51,340,185,2620
PDS_IMG,2025-07-14,51,341,185,2620
PDS_IMG,2025-07-15,52,343,185,2620
PDS_IMG,2025-07-24,52,345,185,2620
PDS_IMG,2025-08-07,52,351,185,2620
PDS_IMG,2025-08-08,52,364,185,2620
PDS_IMG,2025-08-09,52,365,185,2620
PDS_IMG,2025-08-10,52,366,185,2620
PDS_IMG,2025-08-13,52,371,185,2620
PDS_IMG,2025-08-14,52,372,185,2620
PDS_IMG,2025-08-25,52,373,185,2620
PDS_IMG,2025-08-26,52,374,185,2620
PDS_IMG,2025-08-27,52,380,185,2620
PDS_IMG,2025-08-28,52,384,185,2620
PDS_IMG,2025-08-29,52,386,185,2620
PDS_IMG,2025-11-05,52,387,185,2620
PDS_IMG,2025-11-06,52,389,185,2620
PDS_IMG,2025-11-07,54,408,185,2620
PDS_IMG,2025-11-08,56,415,185,2620
PDS_IMG,2025-11-10,59,424,185,2620
PDS_IMG,2025-12-03,60,427,185,2620
PDS_IMG,2025-12-04,60,441,185,2620
PDS_IMG,2025-12-05,61,452,185,2620
PDS_IMG,2025-12-06,61,455,185,2620
PDS_IMG,2025-12-07,61,457,185,2620
PDS_IMG,2025-12-08,61,458,185,2620
PDS_IMG,2025-12-09,61,463,185,2620
PDS_IMG,2026-03-11,64,469,185,2620
PDS_IMG,2026-03-16,66,472,185,2620
PDS_IMG,2026-03-17,73,494,185,2620
PDS_IMG,2026-03-19,78,503,185,2620
PDS_IMG,2026-03-25,78,507,185,2620
PDS_IMG,2026-03-31,78,508,185,2620
PDS_IMG,2026-04-03,79,513,185,2620
PDS_IMG,2026-04-08,79,514,185,2620
PDS_IMG,2026-04-09,80,519,185,2620
PDS_IMG,2026-04-11,81,520,185,2620
PDS_IMG,2026-04-14,82,522,185,2620
PDS_IMG,2026-04-15,89,534,185,2620
PDS_IMG,2026-04-16,90,535,185,2620
PDS_IMG,2026-04-17,92,538,185,2620
PDS_IMG,2026-04-19,93,540,185,2620
PDS_IMG,2026-04-20,94,541,185,2620
PDS_IMG,2026-04-21,97,546,185,2620
PDS_IMG,2026-04-22,98,549,185,2620
PDS_NAIF,2024-12-19,45,114,136,332
PDS_NAIF,2025-01-29,104,252,136,332
PDS_NAIF,2025-02-06,105,254,136,332
PDS_NAIF,2025-02-07,106,257,136,332
PDS_NAIF,2025-03-05,107,259,136,332
PDS_NAIF,2025-03-13,108,262,136,332
PDS_NAIF,2025-04-03,109,264,136,332
PDS_NAIF,2025-04-26,110,266,136,332
PDS_NAIF,2025-05-10,111,268,136,332
PDS_NAIF,2025-06-17,112,271,136,332
PDS_NAIF,2025-07-02,113,273,136,332
PDS_NAIF,2025-07-31,114,275,136,332
PDS_NAIF,2025-08-14,115,277,136,332
PDS_NAIF,2025-10-09,117,283,136,332
PDS_NAIF,2025-10-14,118,286,136,332
PDS_NAIF,2025-11-05,123,301,136,332
PDS_NAIF,2025-11-08,124,303,136,332
PDS_NAIF,2025-11-13,125,305,136,332
PDS_NAIF,2025-12-11,126,307,136,332
PDS_NAIF,2026-02-18,127,309,136,332
PDS_NAIF,2026-02-24,128,312,136,332
PDS_NAIF,2026-03-11,129,315,136,332
PDS_NAIF,2026-03-14,130,317,136,332
PDS_NAIF,2026-03-17,131,319,136,332
PDS_NAIF,2026-04-02,132,321,136,332
PDS_NAIF,2026-04-25,133,324,136,332
PDS_NAIF,2026-06-04,134,327,136,332
PDS_NAIF,2026-07-08,135,329,136,332
PDS_NAIF,2026-07-24,136,332,136,332
PDS_PPI,2022-08-18,1,3,506,2882
PDS_PPI,2022-08-23,4,11,506,2882
PDS_PPI,2022-09-15,6,18,506,2882
PDS_PPI,2022-11-07,39,66,506,2882
PDS_PPI,2022-11-08,42,86,506,2882
PDS_PPI,2023-06-20,43,90,506,2882
PDS_PPI,2023-06-22,46,101,506,2882
PDS_PPI,2023-06-23,61,103,506,2882
PDS_PPI,2023-07-31,63,104,506,2882
PDS_PPI,2024-11-25,68,130,506,2882
PDS_PPI,2024-11-26,81,202,506,2882
PDS_PPI,2024-11-27,83,222,506,2882
PDS_PPI,2024-11-28,99,301,506,2882
PDS_PPI,2024-11-29,103,322,506,2882
PDS_PPI,2024-12-02,105,338,506,2882
PDS_PPI,2024-12-03,107,362,506,2882
PDS_PPI,2024-12-04,109,366,506,2882
PDS_PPI,2024-12-05,111,376,506,2882
