node,lidvid,product_class,harvest_date
PSA,urn:esa:psa:bc_mpo_isa::2.5,Product_Bundle,2023-09-20T15:47:21.607933Z
PSA,urn:esa:psa:bc_mpo_isa::2.6,Product_Bundle,2023-09-20T15:47:21.995962Z
PSA,urn:esa:psa:bc_mpo_isa::2.7,Product_Bundle,2023-09-20T15:47:22.271867Z
PSA,urn:esa:psa:bc_mpo_isa::2.8,Product_Bundle,2023-09-20T15:47:22.379955Z
PSA,urn:esa:psa:bc_mpo_isa::2.9,Product_Bundle,2023-09-20T15:47:22.534377Z
PSA,urn:esa:psa:bc_mpo_isa::3.0,Product_Bundle,2023-09-20T15:47:25.041965Z
PSA,urn:esa:psa:bc_mpo_isa::3.1,Product_Bundle,2023-09-20T15:47:25.243340Z
PSA,urn:esa:psa:bc_mpo_isa::3.2,Product_Bundle,2023-09-20T15:47:28.828173Z
PSA,urn:esa:psa:bc_mpo_isa::3.3,Product_Bundle,2023-09-20T15:47:29.157990Z
PSA,urn:esa:psa:bc_mpo_isa::4.0,Product_Bundle,2023-09-20T15:47:29.296954Z
PSA,urn:esa:psa:bc_mpo_isa::4.1,Product_Bundle,2023-09-20T15:47:29.453615Z
PSA,urn:esa:psa:bc_mpo_isa::4.2,Product_Bundle,2023-09-20T15:47:29.561852Z
PSA,urn:esa:psa:bc_mpo_isa::4.3,Product_Bundle,2023-09-20T15:47:29.823116Z
PSA,urn:esa:psa:bc_mpo_isa::4.4,Product_Bundle,2023-09-20T15:47:29.931753Z
PSA,urn:esa:psa:bc_mpo_isa::5.0,Product_Bundle,2023-09-20T15:47:30.055025Z
PSA,urn:esa:psa:bc_mpo_isa::5.1,Product_Bundle,2023-09-20T15:47:30.738348Z
PSA,urn:esa:psa:bc_mpo_isa::5.2,Product_Bundle,2023-09-20T15:49:37.354031Z
PSA,urn:esa:psa:bc_mpo_isa::5.3,Product_Bundle,2023-09-20T15:49:37.460711Z
PSA,urn:esa:psa:bc_mpo_isa::5.4,Product_Bundle,2023-09-20T15:49:37.608453Z
PSA,urn:esa:psa:bc_mpo_isa::6.0,Product_Bundle,2023-09-20T15:49:37.763870Z
PSA,urn:esa:psa:bc_mpo_isa::6.1,Product_Bundle,2023-09-20T15:49:37.941452Z
PSA,urn:esa:psa:bc_mpo_isa::6.2,Product_Bundle,2023-09-20T15:49:38.306824Z
PSA,urn:esa:psa:bc_mpo_isa::6.3,Product_Bundle,2023-09-20T15:49:38.717814Z
PSA,urn:esa:psa:bc_mpo_isa::6.4,Product_Bundle,2023-09-20T15:49:38.864829Z
PSA,urn:esa:psa:bc_mpo_isa::7.0,Product_Bundle,2023-09-20T15:49:39.029240Z
PSA,urn:esa:psa:bc_mpo_isa::7.1,Product_Bundle,2023-09-20T15:49:39.114873Z
PSA,urn:esa:psa:bc_mpo_isa::7.2,Product_Bundle,2023-09-20T15:49:39.334800Z
PSA,urn:esa:psa:bc_mpo_isa::7.3,Product_Bundle,2023-09-20T15:49:39.694995Z
PSA,urn:esa:psa:bc_mpo_isa::8.0,Product_Bundle,2023-09-20T15:49:39.803755Z
PSA,urn:esa:psa:bc_mpo_isa::8.1,Product_Bundle,2023-09-20T15:49:40.131999Z
PSA,urn:esa:psa:bc_mpo_isa::9.0,Product_Bundle,2023-09-20T15:49:43.178578Z
PSA,urn:esa:psa:bc_mpo_isa::9.1,Product_Bundle,2023-09-20T15:49:43.864809Z
PSA,urn:esa:psa:bc_mpo_isa::9.2,Product_Bundle,2023-09-20T15:49:43.995720Z
PSA,urn:esa:psa:bc_mpo_isa::9.3,Product_Bundle,2023-09-20T15:49:44.219997Z
PSA,urn:esa:psa:bc_mpo_mag::1.0,Product_Bundle,2023-09-20T15:18:55.100172Z
PSA,urn:esa:psa:bc_mpo_mertis::0.1,Product_Bundle,2023-09-20T15:19:04.077686Z
PSA,urn:esa:psa:bc_mpo_mertis::0.2,Product_Bundle,2023-09-20T15:37:23.005049Z
PSA,urn:esa:psa:bc_mpo_mertis::0.3,Product_Bundle,2023-09-20T15:37:23.128343Z
PSA,urn:esa:psa:bc_mpo_mertis::0.4,Product_Bundle,2023-09-20T15:37:23.304863Z
PSA,urn:esa:psa:bc_mpo_mertis::0.5,Product_Bundle,2023-09-20T15:37:23.440839Z
